index,comments
114,Thảo Chi ngày nào t chả gọi. Trong mơ t còn réo m đi đây này :)))
115,Trung Anh lên cái hẹn nhở =)))
116,Thảo Chi haha đi phượt nhé
117,Trung Anh điiii
118,"👉 Dịch vụ tour trọn gói xe máy, xe ô tô 5 chỗ, 7 chỗ, 16 chỗ, 29 chỗ.\n👉 lái xe người địa phương vui tính, thân thiện, nhiệt tình và am hiểu nền văn hóa dân tộc. Đặc biệt an toàn trên mọi cung đường\n👉 Tư vấn du lịch Hà Giang sđt và zalo: 0344363076"
119,đẹp quá
120,Mê quá.
121,Ước được đi 1 lần
122,Báo quá con ơi 😅
123,Trần Thị Thu Tươi hết cíu =)))
124,Đúng là bé ngoan xinh yêu mà bố mẹ nuôi nấng.😂😂😂
125,"Bất hiếu với bố mẹ, có hiếu với zai 😌"
126,"bố mẹ thì còng lưng chạy thóc,con đi học mong mưa :))"
127,"mẹ già lọ mọ 3h sáng ra chợ đầu mối mua mc, con gái Nguyễn Linh Giang lên mạng kể với bạng iu mẹ iu bị giời đày 😌"
128,Tuấn Nguyễn thức trông con 2 ngày rồi đang hơi điên đấy nhé
129,Nguyễn Linh Giang khéo sụt nửa lạng r chứ đùa
130,Có hiếu với trai quá =))
131,Bố mẹ thấy thì lẩm nhẩm câu đứa con trời đánh 🤣
132,Có hiếu với zai quá bây🤣
133,"Chặn hết họ hàng hàng xóm bạn bè thân hữu gần xa, chỉ kết bạn khách du lịch 😆😆😆"
134,Báo con 😂😂😂
135,Thì mưa trên tp chứ ở mưa ở quê đéo đâu mà lo
136,bố mẹ vất vả phơi thuốc là mà biết viết tắt Stt = status thì cũng lạ đấy.
137,"Thế giờ ở quê nắng vỡ mồm ra nắng cả năm đéo mưa cho lại há mồm ra, phơi cả tháng cả năm à, toàn đăng những thứ vớ vẩn , toàn thể loại thần kinh kêu có Hiếu vs zai"
138,Cơn mưa của em gái ước không một chúc ảnh hưởng gì với cái nắng như đổ lửa ở quê hết á
139,Mạnh dạn đoán quê Tiên Lãng- Hải Phòng
140,Nguyễn Văn Hà hoặc là Vĩnh Bảo
141,Nga Nguyen nói đến thuốc lào mà ở HP thì mấy ai nói Vĩnh Bảo đâu e
142,a lào à :)). vì anh nuôi em lớn khôn
143,Ủa mưa ở thành phố thì liên quan gì đến thuốc lào của bme ở quê. Ở quê k mưa nha 😆
144,Nghiệt ngã :)))))
145,Tỉnh đi connn
146,Mưa to mà lại vơi bớt là như nào 🙄
147,"Thì mưa ở thành phố, nắng to ở quê... nghĩ nhiều quá"
148,Ở quê nắng ở tp mưa là đc gòyy
149,Mưa ở thành phố thôi mà
150,Nhét mẹ nó vào bụng kaka
151,Thành phố mưa còn ở quê nắng😆
152,quê với tp chả liên quan qq gì với nhau cả.
153,Tương tác nhé Chửi Thuê
154,Nghĩ nó chán
155,Con với cái 😂😂
156,Ý cô gái là. Mong chỗ con mưa. Còn ở quê k mưa ấy mà😆😆😆
157,mới sáng :)))
158,"Mưa trên thành phố thôi, k ảnh hg gì :))"
159,Hải Phòng k lòng vòng là zậy đó
160,Vũ Thắm Vũ Huyền là các b à 🤣🤣🤣
161,Dung Dô ê nay em về báo hiếu chị ạ😄
162,Vũ Thắm nghi lắm 🤣🤣🤣
163,Luyến Đỗ Thu Uyên Lena đúng không =))))
164,"Huyền My đúng Lena rồi, ko ai khác"
165,"Huyền My 😑 khum đúng nha, cuối tuần về sấp mặt làm thuốc"
166,Dương Khánh Hường chả nhẽ gạch tên khỏi gia phả
167,Tương tác nhé Chửi Thuê
168,Con với cái... đẻ đau()
169,Nguyen Dinh Loi phải e e còn cầu cho mưa lụt luôn ý
170,Sai thật mà🤣🤣
171,Còn em sai ghính
172,Trần Ngọc Trân trân nhắn bạn\n🦧đi :))))))
173,Hoàng Thuý Anh dmmmmmmm
174,Trần Huỳnh Minh Mẫn hay z lắmm🙂
175,Nguyễn Thị Nhựt z mà cứ bị dụ quài
176,Trần Huỳnh Minh Mẫn
177,Jimmy Tran... Hay ghê 😂
178,Dương Tùng tr oi 😀
179,Quang Văn anh à :)))
180,Đinh Thảo Vy chạ vậy
181,Kim Thy ck c có thế ko🤣
182,Vũ
183,Huyền Trân rỡn mặt
184,Nguyễn Ngọc Phượng Vy clm =))))
185,"sao cứ văng vẳng trong đầu ""anh sai rồi cho anh vay 500"" nhỉ"
186,Ngôn ngữ càng ngày càng âm ti địa ngục vkl
187,chơi chữ mà sai chính tả thì im mẹ mồm vào
188,Siêu đẹp trai à :))))
189,nhờn vl =)))
190,😌 cái đó sai thiệt
191,Tao chịu :))
192,Phương Anh nếu sai đẹp chiêu thì chả bao giờ phải xin lỗi cả =)) a được miễn tội
193,Ngài =))
194,Huy Trường =))
195,Thắng Tony đỉnh
196,Nguyễn Đức Cường m xin lỗi t chưa
197,Quynhh Anhh xin lỗi mẹ
198,giỡn mặt hả
199,Ngọc đm mày của tương lai à?
200,Đừng để chồng tao thấy
201,chài ơi chài
202,Thu Trang nghe chưa cưng
203,Hoang Anh chai điệp siêu hả🤣
204,Thu Trang lui cung đi
205,Phạm Minh Hiền sai của ny là này à
206,Đình Duy y hệt văn của m
207,Võ Thuấn Anh tấm nhớ em sao
208,Hờ hờ 🤡 Hoàng Tiến Đạt
209,Hoàng Thùy Linh chứ seo 😎
210,Thu Hường a sai rồi
211,Kiếp nạn 83. 🙈🙈🙈. Đúng là lũ rãnh rỗi. Để họ tu má ơi.
212,Tu thời 4.0 gặp kiếp nạn cũng 4.0 🥲
213,Thiệt tình luôn Á. Hãy để cho Ông tự tại tu hành đi. Đúng là kiếp nạn của ông như ông đã nói
214,Ẻ cũng k ngon nữa🤣🤣
215,"Một nhà Đài làm kênh thực tế từ xa cho dân xem, để thầy đc yên. Cứ như này thầy khó thở lắm 😬"
216,"một lũ kền kền, đây là kiếp nạn thầy phải vượt qua, chúc thầy vững tâm"
217,Sợ thật như kền kền luôn. Khổ thân ông MT quá
218,Đây cũng là kiếp nạn của ông ấy
219,Tội cho ông MT thiệt trời gặp báo thủ không
220,Kiếp nạn nạn vượt qua khó quá
221,"Bọn ytb mong giang hồ đấm cho thằng 1 đấm thì tai ,đi ị nó cũng Qoay"
222,Đây là hạnh đầu đà thứ 14 mà thầy đang tu
223,1 trong những kiếp nạn mà thầy phải vượt qua 🥹
224,Kiếp nạn thứ 82 của thầy 😂
225,Đi ị cung ko xong .bó tay luôn y
226,"Đến cứt còn đem ra làm content được, đến chịu"
227,Ở nhà ko đi nhưng cứ vào xem mấy cái clip của du túp bơ tóp tóp cơ đồ thì người ta sẽ đi quay thôi. Giờ đồng loạt đừng ai clip xem mấy clip này nữa 1 time đăng lên ko ai xem thì bọn họ sẽ buôn tha cho thầy thôi
228,"Gặp thời hiện đại đúng khổ hơn trăm nghàn lần, thầy chắc cũng muốn nhanh về núi kết thúc chuyến hành trình, nghe nói bình thường ko đi bộ hành thì thầy tu trong núi ở Nha Trang. Mà sợ tụi nó còn mò đến tận nơi ấy chứ"
229,"Mák toàn giành thời gian làm khùng làm điên xong cứ mãi khổ mãi nghèo rồi đổ lỗi cho thời cuộc, rồi ăn xin online.\nĐường tăng đi thỉnh kinh cũng không gặp qua nhiều yêu quá.i như này 🙏"
230,Đi ẻ cũng gần trăm máy quay 🥲🥲
231,"Có khi nào thầy ị ra xong mấy con tubi , tiktok nó lao vào giành giật k nhỉ"
232,"Thầy làm sư mà không tự trục vong được à, để bọn nó theo ghê vậy"
233,"Đến đi ẻ cũng không yên với cái đám yêu tinh, quỷ quái này nữa. Tu cũng không yên..."
234,Đám này dô diên dữ
235,"Đúng là thầy gặp kiếp nạn thứ 83😭😭\nNgười gì nói mãi k chịu hiểu, bám dai hơn đỉa thương thầy nói khô khan hết cổ họng vẫn như không 🤦\u200d♀️🤦\u200d♀️"
236,"Phạt hết cái đám này đi, grttcc"
237,Đây là khủng bố cmnr
238,"Thầy cũng ĐÍA ẢI như người thường thôi mà, có ra được xá lợi đâu mà bâu vào thế. Tu cũng không yên với chúng mày"
239,hy vọng các bạn đọc trên mxd thấy bất kỳ bài đăng nào lq đến thầy thì háy rp
240,Những người làm phiền thầy tu tập cứ nghĩ vây quanh lấy thầy hay đảnh lễ làm phiền thầy là có phước.Ko làm mà đòi có ăn.Phước là do mình tạo nên đi làm phiền làm ảnh hưởng đến người khác để mong mình có phước đó chính là cách tiêu phước lớn nhất mà ko biết.Vì chính họ nổi tham.Tham ở đây là tham mong cầu tham phước của người khác mà ko tạo ra phước. Phước là phải dữ 5 giới ko sát sinh.ko trộm căps.ko tà dâm.ko nói dối.Ko uống riệu .Cố gắng sống từ bi làm việc thiện .Bố thí cho người khác ko nhất thiết phải bố thí tiền bac. bố thí nụ cười niềm vui hay đơn giản là sự hoan hỷ vui mừng cho người khác cũng là bố thí....Riết ko biết họ có thật sự là phật tử ko hay là những con kền kền tham sân si hiện diện trên con đường đi của thầy
241,Cảm giác đi ị có nhiều người đứng rình ăn trộm cứt k biết thế nào
242,"Lũ này ko có nã,o"
243,lậy luôn 🥹
244,Phạm Phương Anh e chưa xem về thầy này
245,Tuyết Anh Anh thầy này muốn tu cũng k yên vs tiktoker :)))
246,"Trông chả khác 1 lũ ""ma đói"""
247,Lọc dân trí đấy :))))
248,kền kền 🙂 không còn lời nào để diễn tả đc lũ này
249,Tu cũng ko yên nữa 🥹
250,Kền kền à
251,"mẹ bọn thần kinh, rỗi việc :( Thảo Xù"
252,Tử hoặc tù
253,"Dừa. Phông bạt cho cố zô, tính lùa gà thì bị triều đình nắm cổ."
254,Bốn mùa tử tù😂
255,Này thì idol vượt khó😂 giờ chuyển sang idol vượt ngục🤣
256,"Khôn đấy , tất cả đều đứng tên vk đầu cũng sỏi đét"
257,"Đỗ Ninh Triều thì sao mà sỏi, bl tưởng khôn mà chả hiểu cgi 😑"
258,"Đỗ Ninh Triều nó có đền ai đâu , đi tù do gây rối thôi"
259,Đỗ Ninh Triều chả hiểu mịe gì mà cũng phát biểu như đúng r :🤫
260,Trần Doãn Tùng thế à 😅😅
261,"Minh Đức tập chung mà trồng bưởi đi , làm ăn chân chính thôi"
262,Đỗ Ninh Triều tôi trồng bưởi chứ trồng cần sa đâu mà sợ ha ha
263,Biển tử thì đỡ kiểu gì hả anh Phú 😂
264,"ghét nhất những thành phần lúc nó lm ăn dc thì hô gào khen các kiểu là a ơi a giỏi thế cho e theo a vs .bây giờ bị tóm cái ,thì lại im re"
265,Đâu phải đại học dẫn đến con đường thành công. Nhưng con đường thành công này hơi ngắn 😀
266,Khoản 2 là 2-5 năm qf
267,Cho ô anh chuyên đi ăn trực bốc biển thì chả dính biến là đúng r
268,Thành Tuân để phế lu bốc thì đúng ăn c luôn còn gì 😂😂😂
269,Tài giỏi quá cũng khổ 🥴
270,Đô Đồ Độc tài giỏi gì b
271,Đô Đồ Độc tài buôn bán hàng giả và tài mõm ak😂
272,"Lê Vinh Thọ em xem hàng giả mà nó cứ thương hiệu ,tại nó là người nổi tiếng thi nó mới bị như vậy thôi hiểu ko"
273,Đô Đồ Độc ukm nếu nó im im làm ăn thì mình nghĩ cũng ok đấy nhưng cái tật lên mạng khoe khoang thì CA họ để ý là phải rồi
274,Lê Vinh Thọ kiểu no phai thế không khoe lai ko có người theo dõi 🤣
275,Đô Đồ Độc truy nguồn gốc xuất xứ nguyên vật liệu thì ăn máu lol đấy mà tài giỏi.
276,"Bốc biển tặng cả lắc, ông a quý hoá quá 🤣"
277,Cho quả kính sệu cả mặt. Hehe
278,tứ tử thì ăn ngay sấp đôi
279,Xin quả vía phú Lê uy tín thật vào thẳng trại giam 😍😍
280,44444 k thấy đẹp
281,Vía các con vợ nặng nặng . Mất vía mấy năm
282,Khoản 2 từ 2đến 7 nhưng mà sao lại khám xét nhà . Quá đen cho thằng em 🤧🤧🤧
283,"Bị khoản 2 và điều trả thêm về việc kinh doanh hàng nhái, hàng trốn thuế. Quả này mút mùa vải đi chăn lợn, làm gạch."
284,Thằng này tội gì vậy. Ai khai sáng cho t vs
285,"Lê Dương Bảo khởi tố vì gây rồi trật tự công cộng, đoàn xe dâu dừng trên cao tốc chụp ảnh. Tìm kiếm Hải idol là thấy e nhé"
286,Thu Nguyễn dạ vâg a zai. A vẫn khoẻ chứ ạ 🥰
287,"Lê Dương Bảo tks em, a vẫn tươi tốt lắm. Mọi thứ vẫn ok. Sáng dậy vẫn chào cờ 🤭"
288,Thu Nguyễn quá tuyệt vời 🤩
289,Lê Dương Bảo dừng 4 xe sang giữa đường chụp ảnh cưới.bị khởi tố hình sự.nhưng chắc nhẹ hều thôi
290,Lê Dương Bảo cộng sản dọa tý thôi :)))
291,Bánh Chả Lá Chanh khám xét nhà nữa thì hiểu là công an nó đang cần cái cớ bắt để khám xét
292,Số ngũ quỷ tử này nặng lắmm . Thấy mấy ông đi tò rồi
293,4 lần thoát chết.\n4 lần đau!\n4 lần đưa nhau vào cửa tử.\n4 phương ae cùng đến tiễn!\n4 năm trại giam tiếp đón e:)))
294,444-Từ Từ Tù =)))
295,"Lại vụ gì vậy ae, ông nào đi tù vậy"
296,May mình kịp vào bờ 😌😌
297,Bể bơi la khê 🙃🙃🙃🙃🙃
298,Ước 1 lần được lội nước Văn Khê Ngọc Mai
299,CaoQuý Hoàng đơn giản 🌝
300,CaoQuý Hoàng nói phải làm ngồi đấy mà ước. Ước cc
301,1 thanh niên cũng vừa được bơi qua đây xong 😒
302,Nguyễn Thúy Hiền Gấm Gấu kỉ niệm khó quên ạ🥺
303,Thu Thao chỉ sợ chết máy
304,Thu Thao sợ hãi luôn. K mở mắt được mà nhìn ker
305,Gấm Gấu lần đầu trải nghiệm cảm giác mưa tạt ko nhìn nổi xong sấm chớp thì cứ đùng đùng c ạ😢
306,Nguyễn Thúy Hiền nước ngập quá trừi
307,Đường 103 nhà mình nè Nguyễn Hoàng PhongĐỗ Công Đức
308,"Mã Hoàng Huệ Chi ô, e mình mua oto rồi à 😎"
309,Mã Hoàng Huệ Chi thế m bơi về đến nhà chưa
310,Hoàng Mơ t đang bơi về nè
311,Đỗ Công Đức ảnh mạng mà a
312,Mã Hoàng Huệ Chi nhạt nhẽo -_-
313,Đưc Anh ối cậu ơi =))))
314,chưa có kịp mua bikini 😂
315,Thao Tran chưa kịp mua con xuồng thái lan 😈
316,Đưc Anh mệt vl :))))
317,Châu Pika đường mk tí về nhà nàyyy
318,Thúy Mai ek mới mưa tý đã ngập tn r á
319,Châu Pika đúng rùi đó =)))) téo về tập bơi 🥲
320,Nguyệt Hà mua cano dần đi
321,Vu Ngoc Mai biết đâu lại về vùng biển vắng 😆
322,Đỗ Tiến Thành vừa xem str em mình thì thấy cái này =)))
323,Phan Thanh Thuỷ em vừa bơi xong thì đọc đc cmt của chị gái
324,Phạm Thu Thảo ổn kh b ơi
325,Nguyễn Thị Thúy
326,Phuong Thi Nga ở yên nhà :))
327,Đỗ Quyên Mai Nhất thấy là hèn
328,Phong Hong Trinh cụ m
329,Đội hình Thiên Văn Học cho xin con ảnh đi 🍻🍻🍻
330,Dã man may mình kịp về nhà trc khi yêu quái đêbs
331,ôi con sông quê tôi
332,Quê e mùa nc lũ
333,Tau vừa lội về xong
334,An Ngọc chúc may mắn trong cuộc thi bơi mở rộng
335,Nhài Trần lo
336,An Ngọc nên lo 😂😂😂
337,Mai đón t bằng cái đống này đó hả :))) ? Sos
338,SG như cái lò bát quái
339,Vịnh smart city
340,Mưa có 10p🙂
341,Áy chù ù uôi 🤣
342,Thanh Thuý Huy Nguyễn đi aeon mall hà đông ko để mua vé tàu thuỷ 😂😂😂
343,Zu Bee biển Hà Đông nay đẹp nhỉ
344,Thanh Thuý lần sau nhớ chọn ngày mà ra nhá 😂😂😂
345,Trịnh Chi về đến hoà lạc chưa. Qlai bơi còn kịp c đợi đây rồi
346,Vừa rửa xe thì chớ :))
347,Le Hoang may quay đầu kịp nhé
348,"Ngta để phần đã mừng , có ăn thì ăn k ăn thì thôi mua cái khác ăn dui dẻ . Có j đâu mà để ý lắm cho mệt. Ngta ko phải mẹ ruột mình cũng chẳng có trách nhiệm gì phải để cho mình . Thân ai nấy lo cho khoẻ."
349,Tran Giang r ko nói lsau cứ để vậy đó.
350,"Hương Phạm nếu k thích thì đừng ăn thôi , đi mua món ăn mình thích rồi ăn vui vẻ là dc nè c."
351,"Riêng mình có đói đến mấy mà phần ntn thì 1 là nhịn 2 là đi mua phần khác! Kia đâu phải là phần, là ăn thừa chừa lại cho thì có."
352,Lưu Thị Hải Yến giống ta
353,Sao t nhìn đi nhìn lại ko biết sai chỗ nào ta? Hay tại t ko biết món này 😅
354,"Quách Thu Hằng hay mn nhìn thấy ảnh khác mình nhỉ, chứ thấy gọn gàng sạch sẽ mà ta"
355,"Quách Thu Hằng t cũng ngắm đi ngắm lại mấy lần,chả biết sai ở đâu?? Mà sau này mk cũng làm mẹ ck của 2 nàng dâu cơ,khổ!"
356,"Quách Thu Hằng t xem lịch sử chỉnh sửa đúng là đổi ảnh khác rồi đó, ảnh trên trông gọn gàng mà, ảnh hôm qua chắc là khác"
357,"Hoàng Lằm sửa ảnh rồi đó b, ảnh lúc đầu hình như thịt để 1 góc trên khay, bún trong túi sao á, còn ảnh này mình cũng thấy bình thường, đọc cmt tưởng nhà mình bị làm sao thấy mn chửi quá trời"
358,Quách Thu Hằng chắc đổi ảnh khác kéo tương tác đó b 😏
359,"Phương Ngô món này thấy đầy đủ rau thịt bún đầy đủ, chắc mốt t làm mẹ chồng ko được rồi, sợ gặp dâu khó"
360,Phương Ngô đúng rồi. Page thay ảnh á. Sáng nay t xem là ảnh khác cơ
361,Quách Thu Hằng đọc mới biết thay ảnh khác rồi trời ạ. Cứ ngắm cái ảnh xong lẩm nhẩm sạch sẽ gọn gàng như này mọi người chê mà ko hiểu
362,"Luyến Đào ôi t cũng đang không biết có vấn đề gì, chả nhẽ nhà mình lại khác bình thường thế"
363,"Quách Thu Hằng page thay ảnh rồi c ạ,ảnh đầu là hình đồ ăn bầy nhầy, bún 1 nhúm cất trong bao nilon ọp ẹp, tô nước thì ít,cạn, thịt chả thì để sát trong góc khay ạ chứ không phải gọn gàng sạch sẽ như này ạ"
364,"Luyến Đào thay ảnh rồi đúng ko? Nhìn đi nhìn lại chỉ thấy gọn gàng chỉn chu sạch sẽ, mà thấy các bạn ai cũng chửi chết cha chết mẹ, nãy giờ lướt comment 15 phút vẫn hoang mang ko hiểu rốt cuộc là đạo đức thay đổi lệch lạc đến mức tận cùng như vậy"
365,"Quách Thu Hằng nhìn đàng hoàng mà chả hiểu chê chỗ nào , hay mắt tui cận nặng rồi 🤓"
366,"Quách Thu Hằng Mình cũng vậy, chẳng biết sai chỗ nào cả."
